Szonja;1;21;00:03:05.1021606
kgh;2;4;00:03:05.1021606
hg;9;4;00:03:05.1021606
TESZT;10;4;00:03:05.1021606
ZaZa;0;36;00:01:20.3129992
gaga;4;9;00:00:52.5929346
Dod;2;7;00:00:49.3889999
hghj;0;11;00:00:47.7321710
Braccsa;1;7;00:00:39.7817840
user;0;5;00:00:18.4825789
teszt;0;5;00:00:17.0102191
sda;0;7;00:00:16.8268404
JJ;1;3;00:00:15.9129057
gggggg;0;12;00:00:14.8681278
abba;0;5;00:00:13.4070482
Tobbi;0;5;00:00:12.5591093
Ananász;2;3;00:00:12.2504032
Kutya;3;5;00:00:11.3007538
Tobe;0;4;00:00:10.8451103
TESZT4;1;5;00:00:10.8239269
Aladin;0;5;00:00:10.7274696
TESZT3;2;3;00:00:10.5728417
fa;1;3;00:00:10.5036905
TESZT2;2;3;00:00:10.2829902
TESZT%;2;2;00:00:09.3935641
hjgd;1;4;00:00:09.2426071
;0;5;00:00:08.7890214
gsadjhgfsahdgjhf;0;4;00:00:08.3738138
sdf;0;5;00:00:07.6963862
werertew;1;4;00:00:07.5739251
ghhgdshd;1;5;00:00:07.5435089
33333333333332222;0;4;00:00:07.5236193
hgjdfg;2;3;00:00:06.9247017
33;2;2;00:00:05.6954417
